momset,momnum,naics,region,gravity,davgrid,dav,orderedvio,laginv,violation,datamoment
1,3,21,1,1,2,1,1,0,0,.00173877
1,23,21,1,1,2,1,1,0,1,0
1,43,21,1,1,2,1,2,0,0,.00170693
1,63,21,1,1,2,1,2,0,1,.00050633
1,83,21,1,1,2,1,1,1,0,.00040506
1,103,21,1,1,2,1,1,1,1,0
1,123,21,1,1,2,1,2,1,0,0
1,143,21,1,1,2,1,2,1,1,0
1,164,21,1,4,2,1,1,0,0,0
1,184,21,1,4,2,1,1,0,1,0
1,204,21,1,4,2,1,2,0,0,0
1,224,21,1,4,2,1,2,0,1,0
1,244,21,1,4,2,1,1,1,0,0
1,264,21,1,4,2,1,1,1,1,0
1,284,21,1,4,2,1,2,1,0,0
1,304,21,1,4,2,1,2,1,1,0
1,325,21,1,5,2,1,1,0,0,.00564117
1,345,21,1,5,2,1,1,0,1,0
1,365,21,1,5,2,1,2,0,0,0
1,385,21,1,5,2,1,2,0,1,0
1,405,21,1,5,2,1,1,1,0,.00034941
1,425,21,1,5,2,1,1,1,1,0
1,445,21,1,5,2,1,2,1,0,0
1,465,21,1,5,2,1,2,1,1,0
1,486,21,2,1,2,1,1,0,0,.00533749
1,506,21,2,1,2,1,1,0,1,0
1,526,21,2,1,2,1,2,0,0,.00251661
1,546,21,2,1,2,1,2,0,1,.00007134
1,566,21,2,1,2,1,1,1,0,.00007134
1,586,21,2,1,2,1,1,1,1,0
1,606,21,2,1,2,1,2,1,0,0
1,626,21,2,1,2,1,2,1,1,0
1,647,21,2,4,2,1,1,0,0,0
1,667,21,2,4,2,1,1,0,1,0
1,687,21,2,4,2,1,2,0,0,.00180505
1,707,21,2,4,2,1,2,0,1,0
1,727,21,2,4,2,1,1,1,0,0
1,747,21,2,4,2,1,1,1,1,0
1,767,21,2,4,2,1,2,1,0,0
1,787,21,2,4,2,1,2,1,1,0
1,808,21,2,5,2,1,1,0,0,.00570809
1,828,21,2,5,2,1,1,0,1,0
1,848,21,2,5,2,1,2,0,0,.00078064
1,868,21,2,5,2,1,2,0,1,0
1,888,21,2,5,2,1,1,1,0,.00110851
1,908,21,2,5,2,1,1,1,1,0
1,928,21,2,5,2,1,2,1,0,0
1,948,21,2,5,2,1,2,1,1,0
1,969,21,3,1,2,1,1,0,0,.00740585
1,989,21,3,1,2,1,1,0,1,0
1,1009,21,3,1,2,1,2,0,0,.00151434
1,1029,21,3,1,2,1,2,0,1,.00033178
1,1049,21,3,1,2,1,1,1,0,.00131701
1,1069,21,3,1,2,1,1,1,1,0
1,1089,21,3,1,2,1,2,1,0,.00020517
1,1109,21,3,1,2,1,2,1,1,0
1,1130,21,3,2,2,1,1,0,0,0
1,1150,21,3,2,2,1,1,0,1,0
1,1170,21,3,2,2,1,2,0,0,0
1,1190,21,3,2,2,1,2,0,1,0
1,1210,21,3,2,2,1,1,1,0,0
1,1230,21,3,2,2,1,1,1,1,0
1,1250,21,3,2,2,1,2,1,0,0
1,1270,21,3,2,2,1,2,1,1,0
1,1291,21,3,3,2,1,1,0,0,0
1,1311,21,3,3,2,1,1,0,1,0
1,1331,21,3,3,2,1,2,0,0,0
1,1351,21,3,3,2,1,2,0,1,0
1,1371,21,3,3,2,1,1,1,0,0
1,1391,21,3,3,2,1,1,1,1,0
1,1411,21,3,3,2,1,2,1,0,0
1,1431,21,3,3,2,1,2,1,1,0
1,1452,21,3,4,2,1,1,0,0,.0121485
1,1472,21,3,4,2,1,1,0,1,.00053308
1,1492,21,3,4,2,1,2,0,0,.00015899
1,1512,21,3,4,2,1,2,0,1,0
1,1532,21,3,4,2,1,1,1,0,0
1,1552,21,3,4,2,1,1,1,1,0
1,1572,21,3,4,2,1,2,1,0,.00009721
1,1592,21,3,4,2,1,2,1,1,0
1,1613,21,3,5,2,1,1,0,0,.0181065
1,1633,21,3,5,2,1,1,0,1,.00180616
1,1653,21,3,5,2,1,2,0,0,.00183462
1,1673,21,3,5,2,1,2,0,1,.00010918
1,1693,21,3,5,2,1,1,1,0,.00037069
1,1713,21,3,5,2,1,1,1,1,.00011712
1,1733,21,3,5,2,1,2,1,0,.00038959
1,1753,21,3,5,2,1,2,1,1,.00011744
1,1774,21,4,1,2,1,1,0,0,.00496422
1,1794,21,4,1,2,1,1,0,1,0
1,1814,21,4,1,2,1,2,0,0,.00428105
1,1834,21,4,1,2,1,2,0,1,.00026512
1,1854,21,4,1,2,1,1,1,0,.00074603
1,1874,21,4,1,2,1,1,1,1,0
1,1894,21,4,1,2,1,2,1,0,.00006792
1,1914,21,4,1,2,1,2,1,1,.00008764
1,1935,21,4,2,2,1,1,0,0,0
1,1955,21,4,2,2,1,1,0,1,0
1,1975,21,4,2,2,1,2,0,0,0
1,1995,21,4,2,2,1,2,0,1,0
