obs, invprob, loglike
90, 0.265981, -0.30922
91, 0.257629, -1.35624
92, 0.0436259, -0.0446061
108, 0.0449358, -0.0459767
109, 0.0449358, -0.0459767
110, 0.0449358, -3.10252
111, 0.0419133, -0.042817
112, 0.0449358, -0.0459767
113, 0.0449358, -0.0459767
114, 0.0449358, -3.10252
115, 0.0419133, -0.042817
116, 0.0449358, -0.0459767
117, 0.0449358, -3.10252
118, 0.0419133, -0.042817
119, 0.0449358, -0.0459767
120, 0.0449358, -0.0459767
121, 0.0449358, -0.0459767
122, 0.0449358, -0.0459767
166, 0.0477198, -0.0488959
167, 0.0477198, -0.0488959
168, 0.05106, -0.0524097
169, 0.0506515, -0.0519793
170, 0.0503039, -0.0516132
171, 0.285581, -1.25323
172, 0.207431, -0.232476
173, 0.331086, -1.10538
174, 0.0609715, -0.0629095
175, 0.295759, -0.350634
176, 0.281666, -0.330821
177, 0.269383, -0.313866
178, 0.258329, -0.298849
179, 0.219945, -0.248391
180, 0.216057, -0.243419
181, 0.275144, -1.29046
186, 0.183535, -0.202771
187, 0.183535, -0.202771
188, 0.183535, -0.202771
189, 0.183535, -1.69535
190, 0.139258, -0.14996
191, 0.183535, -0.202771
192, 0.234678, -0.267459
193, 0.229066, -0.260152
194, 0.224266, -1.49492
195, 0.0505003, -0.0518201
196, 0.0497095, -0.0509876
197, 0.212557, -0.238965
198, 0.209408, -1.56347
199, 0.0493941, -0.0506557
200, 0.0488618, -0.0500959
201, 0.0487476, -0.0499758
202, 0.0486448, -0.0498678
203, 0.0485523, -0.0497705
204, 0.197047, -1.62431
205, 0.167894, -0.183795
226, 0.05106, -0.0524097
227, 0.0506515, -0.0519793
233, 0.313463, -0.376095
234, 0.29571, -1.21838
235, 0.0564108, -0.0580644
236, 0.0544235, -0.0559604
237, 0.0533558, -0.0548319
238, 0.245981, -0.282338
239, 0.238238, -0.272121
240, 0.231269, -0.263015
241, 0.224997, -0.254889
242, 0.219459, -1.51659
243, 0.050606, -0.0519314
244, 0.211024, -0.237019
245, 0.265623, -0.308732
246, 0.254754, -1.36746
247, 0.0530345, -0.0544927
248, 0.0517205, -2.9619
249, 0.0518435, -0.0532357
250, 0.0506931, -0.0520231
260, 0.0477198, -0.0488959
261, 0.0477198, -3.04241
262, 0.0477493, -0.0489269
263, 0.0477198, -0.0488959
264, 0.0477198, -0.0488959
265, 0.0477198, -0.0488959
266, 0.0477198, -0.0488959
267, 0.0477198, -0.0488959
268, 0.0477198, -0.0488959
269, 0.0477198, -0.0488959
270, 0.0477198, -0.0488959
271, 0.183535, -0.202771
272, 0.234678, -0.267459
273, 0.229066, -1.47375
274, 0.15663, -0.17035
275, 0.219945, -0.248391
276, 0.216057, -1.53221
277, 0.329775, -0.400141
278, 0.395032, -0.50258
279, 0.445017, -0.809644
280, 0.231505, -0.263321
281, 0.393762, -0.932009
285, 0.234678, -0.267459
286, 0.229066, -0.260152
287, 0.224266, -1.49492
288, 0.154819, -0.168204
289, 0.216057, -0.243419
290, 0.212557, -0.238965
291, 0.209408, -1.56347
292, 0.149211, -0.161591
293, 0.20413, -0.228319
294, 0.20207, -0.225735
295, 0.200217, -0.223414
296, 0.198549, -1.61672
297, 0.0487032, -0.0499292
298, 0.0483941, -0.0496043
299, 0.249868, -0.287507
389, 0.0497211, -0.0509998
390, 0.0494855, -0.0507519
391, 0.0492826, -3.01018
740, 0.0442769, -0.045287
741, 0.0443433, -0.0453565
761, 0.0442769, -3.11729
762, 0.0382136, -0.0389629
763, 0.0444097, -0.045426
764, 0.0444694, -0.0454885
765, 0.0445231, -0.0455447
766, 0.0445715, -0.0455954
767, 0.044615, -0.0456409
768, 0.0446542, -0.0456819
984, 0.136775, -1.98942
985, 0.111429, -2.19436
986, 0.111429, -0.118141
987, 0.136775, -0.14708
988, 0.136775, -0.14708
989, 0.136775, -0.14708
990, 0.136775, -0.14708
991, 0.136775, -0.14708
992, 0.136775, -0.14708
993, 0.136775, -0.14708
994, 0.136775, -0.14708
995, 0.136775, -0.14708
996, 0.136775, -0.14708
997, 0.136775, -0.14708
998, 0.136775, -1.98942
999, 0.111429, -0.118141
1000, 0.136775, -0.14708
1001, 0.136775, -0.14708
1002, 0.136775, -0.14708
1003, 0.136775, -0.14708
1004, 0.136775, -0.14708
1005, 0.136775, -0.14708
1006, 0.136775, -0.14708
1007, 0.136775, -0.14708
1008, 0.136775, -0.14708
1009, 0.136775, -0.14708
1010, 0.136775, -0.14708
1092, 0.047253, -0.0484059
1093, 0.047253, -0.0484059
1094, 0.047253, -0.0484059
1095, 0.047253, -0.0484059
1096, 0.047253, -0.0484059
1097, 0.047253, -0.0484059
1098, 0.167173, -0.182929
1099, 0.164002, -0.179129
1100, 0.161249, -0.175841
1101, 0.158772, -0.172892
1102, 0.156542, -1.85443
1103, 0.130118, -0.139398
1104, 0.213132, -0.239695
1105, 0.206113, -1.57933
1106, 0.0649782, -0.0671854
1107, 0.0582592, -0.0600252
1108, 0.056266, -0.057911
1109, 0.213242, -0.239835
1110, 0.206235, -0.230967
1111, 0.199352, -0.222334
1112, 0.193109, -1.6445
1113, 0.0584921, -0.0602726
1114, 0.0545007, -0.0560422
1115, 0.0531105, -0.0545729
1116, 0.0521842, -0.0535951
1117, 0.0513506, -0.0527159
1118, 0.0607332, -0.0626557
1119, 0.153925, -0.167147
1120, 0.153925, -0.167147
1121, 0.153925, -0.167147
1122, 0.153925, -0.167147
1123, 0.153925, -1.87129
1129, 0.193092, -0.214546
1130, 0.188793, -0.209232
1131, 0.185118, -0.204712
1132, 0.18181, -0.200661
1133, 0.225578, -0.255638
1134, 0.217113, -0.244767
1135, 0.209571, -0.235179
1136, 0.203257, -1.59328
1137, 0.0528776, -0.0543269
1138, 0.0511782, -0.0525343
1139, 0.050501, -0.0518208
1140, 0.0500955, -0.0513938
1141, 0.0497305, -0.0510096
1142, 0.049402, -0.050664
1143, 0.0491064, -3.01377
1152, 0.193092, -0.214546
1153, 0.188793, -0.209232
1154, 0.185118, -0.204712
1155, 0.18181, -0.200661
1156, 0.178833, -0.197029
1157, 0.176154, -0.193772
1158, 0.173743, -0.190849
1159, 0.171573, -1.76275
1170, 0.193092, -0.214546
1171, 0.188793, -0.209232
1172, 0.233483, -0.265899
1202, 0.193092, -0.214546
1203, 0.188793, -0.209232
1204, 0.185118, -0.204712
1205, 0.18181, -0.200661
1206, 0.178833, -0.197029
1207, 0.176154, -0.193772
1208, 0.173743, -0.190849
1209, 0.171573, -0.188226
1210, 0.169701, -0.18597
1211, 0.168124, -0.184072
1212, 0.166704, -1.79154
1226, 0.0473862, -0.0485458
1230, 0.193092, -0.214546
1231, 0.188793, -0.209232
1232, 0.185118, -0.204712
1233, 0.18181, -0.200661
1234, 0.178833, -0.197029
1235, 0.176154, -0.193772
1236, 0.173743, -0.190849
1237, 0.171573, -0.188226
1238, 0.169701, -0.18597
1239, 0.168124, -1.78305
1240, 0.127105, -0.13594
1241, 0.165426, -0.180834
1242, 0.164276, -0.179457
1243, 0.163241, -0.178219
1244, 0.162309, -0.177106
1245, 0.161471, -0.176106
1246, 0.160716, -0.175207
1247, 0.160037, -0.174398
1248, 0.159426, -0.17367
1249, 0.158876, -0.173016
1250, 0.158381, -0.172428
1251, 0.157935, -0.171898
1252, 0.157534, -0.171422
1253, 0.157173, -0.170994
1259, 0.193092, -0.214546
1260, 0.188793, -0.209232
1261, 0.185118, -0.204712
1262, 0.18181, -0.200661
1263, 0.178833, -0.197029
1264, 0.222208, -0.251296
1265, 0.214112, -0.240941
1266, 0.20707, -1.5747
1280, 0.0473862, -0.0485458
1281, 0.153925, -0.167147
1282, 0.153925, -0.167147
1283, 0.193092, -0.214546
1284, 0.188793, -0.209232
1285, 0.185118, -0.204712
1286, 0.18181, -0.200661
1287, 0.178833, -0.197029
1288, 0.176154, -0.193772
1289, 0.173743, -0.190849
1290, 0.171573, -0.188226
1291, 0.169701, -0.18597
1292, 0.168124, -0.184072
1293, 0.166704, -0.182366
1294, 0.165426, -0.180834
1295, 0.164276, -0.179457
1296, 0.163241, -0.178219
1297, 0.162309, -1.81825
1298, 0.04682, -0.0479515
1299, 0.20211, -0.225784
1300, 0.196643, -0.218956
1301, 0.191622, -0.212725
1302, 0.187327, -0.207426
1303, 0.183798, -0.203094
1304, 0.180622, -0.19921
1305, 0.177764, -0.195728
1306, 0.175192, -0.192605
1307, 0.172877, -0.189802
1308, 0.193092, -0.214546
1309, 0.238106, -0.271948
1310, 0.228267, -0.259116
1311, 0.219578, -1.51605
1312, 0.0560811, -0.0577151
1313, 0.0531977, -0.054665
1314, 0.0522607, -0.0536759
1315, 0.0514175, -0.0527865
1316, 0.0506585, -0.0519867
1317, 0.0502143, -0.0515189
1318, 0.0498374, -0.0511222
1319, 0.0494982, -0.0507652
1320, 0.049193, -3.012
1321, 0.0484819, -0.0496966
1322, 0.048671, -0.0498953
1323, 0.0484805, -0.0496951
1324, 0.0483711, -0.0495801
1325, 0.0482726, -0.0494766
1326, 0.048184, -0.0493835
1327, 0.0481042, -0.0492997
1328, 0.0480324, -0.0492243
1329, 0.0479678, -0.0491564
1330, 0.0479096, -0.0490953
1331, 0.0478573, -0.0490403
1332, 0.0478102, -0.0489909
1333, 0.0477678, -0.0489464
1334, 0.0477296, -0.0489063
1343, 0.193092, -0.214546
1344, 0.188793, -0.209232
1345, 0.185118, -0.204712
1346, 0.18181, -0.200661
1347, 0.178833, -1.7213
1351, 0.193092, -0.214546
1352, 0.188793, -0.209232
1353, 0.233483, -0.265899
1354, 0.224151, -1.49544
1355, 0.0572906, -0.0589972
1356, 0.0537457, -0.0552439
1357, 0.0527539, -0.0541963
1358, 0.0518613, -0.0532545
1359, 0.051058, -2.97479
1360, 0.0634713, -0.0655751
1361, 0.0578878, -0.0596309
1364, 0.172484, -0.189327
1365, 0.169834, -0.186129
1366, 0.167545, -1.7865
1380, 0.148238, -0.160448
1381, 0.148238, -0.160448
1382, 0.172484, -0.189327
1383, 0.169834, -0.186129
1384, 0.167545, -1.7865
1385, 0.0465156, -0.0476322
1386, 0.0469755, -0.0481147
1387, 0.0468493, -0.0479823
1388, 0.0467357, -0.0478631
1416, 0.156812, -0.170566
1417, 0.156812, -0.170566
1418, 0.19539, -1.63276
1419, 0.127731, -0.136657
1420, 0.235236, -1.44717
1421, 0.137846, -1.98162
1422, 0.15096, -1.89074
1423, 0.146937, -0.158922
1424, 0.245419, -0.281593
1425, 0.234462, -1.45046
1426, 0.0425836, -0.0435169
1427, 0.271241, -1.30475
1428, 0.146797, -1.91871
1429, 0.143306, -0.154675
1430, 0.234098, -1.45202
1431, 0.0425593, -0.0434915
1432, 0.0460461, -0.0471399
1433, 0.0459476, -0.0470366
1434, 0.0459371, -0.0470256
1435, 0.248666, -1.39164
1436, 0.0436051, -0.0445844
1437, 0.283514, -1.26049
1438, 0.164928, -1.80224
1439, 0.0923921, -2.38171
1440, 0.0737454, -0.0766061
1441, 0.0545092, -0.0560512
1442, 0.0513259, -0.0526899
1476, 0.156812, -0.170566
1477, 0.19539, -0.217398
1478, 0.191222, -0.21223
1479, 0.18764, -0.207811
1480, 0.184416, -0.203851
1481, 0.181515, -1.70642
1482, 0.0405451, -0.04139
1483, 0.0460414, -0.047135
1503, 0.260017, -0.301128
1504, 0.249921, -0.287576
1505, 0.241636, -1.42032
1508, 0.0662776, -0.0685761
1509, 0.249921, -0.287576
1510, 0.241636, -0.276591
1511, 0.234179, -0.266807
1512, 0.227469, -1.48074
1606, 0.2537, -0.292627
1607, 0.243779, -0.279422
1608, 0.235607, -0.268673
1609, 0.228251, -0.259096
1610, 0.221631, -1.50674
1611, 0.0716923, -0.074392
1612, 0.0614316, -0.0633996
1623, 0.2537, -1.3716
1624, 0.0771068, -0.0802418
1629, 0.0660031, -0.0682822
1630, 0.0649752, -2.73375
1632, 0.2537, -0.292627
1633, 0.243779, -1.41149
1634, 0.223786, -1.49706
1635, 0.21569, -0.242951
1636, 0.480853, -0.655567
1637, 0.436056, -0.572801
1638, 0.39799, -0.921329
1640, 0.170545, -0.186987
1641, 0.2537, -0.292627
1642, 0.243779, -1.41149
1644, 0.0660031, -0.0682822
1645, 0.380176, -0.47832
1646, 0.525677, -0.643069
1649, 0.170545, -0.186987
1650, 0.2537, -0.292627
1651, 0.380176, -0.47832
1652, 0.525677, -0.643069
1653, 0.24429, -0.280097
1654, 0.609064, -0.939212
1655, 0.554583, -0.589538
1659, 0.243779, -0.279422
1660, 0.366343, -1.00418
1661, 0.0948465, -0.0996507
1662, 0.0724706, -0.0752308
1663, 0.0702584, -0.0728486
1664, 0.0685966, -2.67951
1665, 0.080893, -0.0843527
1666, 0.0657549, -0.0680165
1667, 0.0646456, -0.0668298
1668, 0.0638132, -0.0659403
1669, 0.0630641, -0.0651404
1670, 0.0623899, -0.0644211
1671, 0.0617831, -0.0637741
