momset,momnum,naics,region,gravity,davgrid,dav,orderedvio,laginv,violation,modelmoment1
1,3,21,1,1,2,1,1,0,0,-2.327e-08
1,23,21,1,1,2,1,1,0,1,-1.015e-09
1,43,21,1,1,2,1,2,0,0,.145325
1,63,21,1,1,2,1,2,0,1,.0152856
1,83,21,1,1,2,1,1,1,0,-1.939e-10
1,103,21,1,1,2,1,1,1,1,-1.936e-10
1,123,21,1,1,2,1,2,1,0,-1.942e-10
1,143,21,1,1,2,1,2,1,1,-1.940e-10
1,164,21,1,4,2,1,1,0,0,-1.139e-07
1,184,21,1,4,2,1,1,0,1,-5.131e-09
1,204,21,1,4,2,1,2,0,0,.151132
1,224,21,1,4,2,1,2,0,1,.0135847
1,244,21,1,4,2,1,1,1,0,-3.993e-10
1,264,21,1,4,2,1,1,1,1,-3.959e-10
1,284,21,1,4,2,1,2,1,0,-3.955e-10
1,304,21,1,4,2,1,2,1,1,-3.958e-10
1,325,21,1,5,2,1,1,0,0,3.018e-08
1,345,21,1,5,2,1,1,0,1,1.232e-09
1,365,21,1,5,2,1,2,0,0,.146757
1,385,21,1,5,2,1,2,0,1,.0151642
1,405,21,1,5,2,1,1,1,0,-8.108e-12
1,425,21,1,5,2,1,1,1,1,-9.216e-12
1,445,21,1,5,2,1,2,1,0,-9.159e-12
1,465,21,1,5,2,1,2,1,1,-9.202e-12
1,486,21,2,1,2,1,1,0,0,1.405e-06
1,506,21,2,1,2,1,1,0,1,5.194e-08
1,526,21,2,1,2,1,2,0,0,.107198
1,546,21,2,1,2,1,2,0,1,.0139589
1,566,21,2,1,2,1,1,1,0,5.017e-10
1,586,21,2,1,2,1,1,1,1,3.438e-10
1,606,21,2,1,2,1,2,1,0,3.360e-10
1,626,21,2,1,2,1,2,1,1,3.364e-10
1,647,21,2,4,2,1,1,0,0,3.399e-07
1,667,21,2,4,2,1,1,0,1,1.475e-08
1,687,21,2,4,2,1,2,0,0,.138793
1,707,21,2,4,2,1,2,0,1,.0155113
1,727,21,2,4,2,1,1,1,0,3.774e-10
1,747,21,2,4,2,1,1,1,1,3.373e-10
1,767,21,2,4,2,1,2,1,0,3.344e-10
1,787,21,2,4,2,1,2,1,1,3.348e-10
1,808,21,2,5,2,1,1,0,0,1.149e-06
1,828,21,2,5,2,1,1,0,1,4.800e-08
1,848,21,2,5,2,1,2,0,0,.111337
1,868,21,2,5,2,1,2,0,1,.0142437
1,888,21,2,5,2,1,1,1,0,3.543e-11
1,908,21,2,5,2,1,1,1,1,-9.375e-11
1,928,21,2,5,2,1,2,1,0,-1.004e-10
1,948,21,2,5,2,1,2,1,1,-1.000e-10
1,969,21,3,1,2,1,1,0,0,1.912e-07
1,989,21,3,1,2,1,1,0,1,9.730e-09
1,1009,21,3,1,2,1,2,0,0,.1447
1,1029,21,3,1,2,1,2,0,1,.0167913
1,1049,21,3,1,2,1,1,1,0,2.722e-10
1,1069,21,3,1,2,1,1,1,1,2.663e-10
1,1089,21,3,1,2,1,2,1,0,2.662e-10
1,1109,21,3,1,2,1,2,1,1,2.666e-10
1,1130,21,3,2,2,1,1,0,0,1.770e-07
1,1150,21,3,2,2,1,1,0,1,7.028e-09
1,1170,21,3,2,2,1,2,0,0,.155974
1,1190,21,3,2,2,1,2,0,1,.014503
1,1210,21,3,2,2,1,1,1,0,2.766e-10
1,1230,21,3,2,2,1,1,1,1,2.670e-10
1,1250,21,3,2,2,1,2,1,0,2.648e-10
1,1270,21,3,2,2,1,2,1,1,2.653e-10
1,1291,21,3,3,2,1,1,0,0,1.649e-07
1,1311,21,3,3,2,1,1,0,1,9.035e-09
1,1331,21,3,3,2,1,2,0,0,.148467
1,1351,21,3,3,2,1,2,0,1,.0168314
1,1371,21,3,3,2,1,1,1,0,2.982e-10
1,1391,21,3,3,2,1,1,1,1,2.941e-10
1,1411,21,3,3,2,1,2,1,0,2.931e-10
1,1431,21,3,3,2,1,2,1,1,2.931e-10
1,1452,21,3,4,2,1,1,0,0,-3.532e-07
1,1472,21,3,4,2,1,1,0,1,-2.046e-08
1,1492,21,3,4,2,1,2,0,0,.153859
1,1512,21,3,4,2,1,2,0,1,.0153389
1,1532,21,3,4,2,1,1,1,0,-5.468e-10
1,1552,21,3,4,2,1,1,1,1,-5.392e-10
1,1572,21,3,4,2,1,2,1,0,-5.383e-10
1,1592,21,3,4,2,1,2,1,1,-5.388e-10
1,1613,21,3,5,2,1,1,0,0,-2.277e-07
1,1633,21,3,5,2,1,1,0,1,-1.304e-08
1,1653,21,3,5,2,1,2,0,0,.145638
1,1673,21,3,5,2,1,2,0,1,.0166556
1,1693,21,3,5,2,1,1,1,0,-3.611e-10
1,1713,21,3,5,2,1,1,1,1,-3.569e-10
1,1733,21,3,5,2,1,2,1,0,-3.558e-10
1,1753,21,3,5,2,1,2,1,1,-3.561e-10
1,1774,21,4,1,2,1,1,0,0,1.145e-07
1,1794,21,4,1,2,1,1,0,1,4.267e-09
1,1814,21,4,1,2,1,2,0,0,.137074
1,1834,21,4,1,2,1,2,0,1,.0156914
1,1854,21,4,1,2,1,1,1,0,-4.398e-11
1,1874,21,4,1,2,1,1,1,1,-4.800e-11
1,1894,21,4,1,2,1,2,1,0,-4.797e-11
1,1914,21,4,1,2,1,2,1,1,-4.805e-11
1,1935,21,4,2,2,1,1,0,0,-3.849e-09
1,1955,21,4,2,2,1,1,0,1,-1.327e-10
1,1975,21,4,2,2,1,2,0,0,.151642
1,1995,21,4,2,2,1,2,0,1,.0141569
1,2015,21,4,2,2,1,1,1,0,-1.239e-11
1,2035,21,4,2,2,1,1,1,1,-1.282e-11
1,2055,21,4,2,2,1,2,1,0,-1.281e-11
1,2075,21,4,2,2,1,2,1,1,-1.294e-11
1,2096,21,4,3,2,1,1,0,0,6.433e-08
1,2116,21,4,3,2,1,1,0,1,2.676e-09
1,2136,21,4,3,2,1,2,0,0,.140075
1,2156,21,4,3,2,1,2,0,1,.0158276
