naics,region,gravity,DAVgrid_from,orderedviofrom,laginv_from,DAVgridto,orderedvio_to,laginv_to,violationto,transprob
1,1,1,2,2,1,0,0,0,0,0.0509891
1,1,1,2,2,1,0,1,0,0,0
1,1,1,2,2,1,1,1,0,0,0
1,1,1,2,2,1,2,1,0,0,0
1,1,1,2,2,1,3,1,0,0,0.00235187
1,1,1,2,2,1,4,1,0,0,0.00901628
1,1,1,2,2,1,5,1,0,0,0
1,1,1,2,2,1,6,1,0,0,0
1,1,1,2,2,1,7,1,0,0,0
1,1,1,2,2,1,8,1,0,0,0
1,1,1,2,2,1,9,1,0,0,0
1,1,1,2,2,1,10,1,0,0,0
1,1,1,2,2,1,11,1,0,0,0
1,1,1,2,2,1,12,1,0,0,0
1,1,1,2,2,1,13,1,0,0,0
1,1,1,2,2,1,14,1,0,0,0
1,1,1,2,2,1,15,1,0,0,0
1,1,1,2,2,1,16,1,0,0,0
1,1,1,2,2,1,17,1,0,0,0
1,1,1,2,2,1,18,1,0,0,0
1,1,1,2,2,1,19,1,0,0,0
1,1,1,2,2,1,0,1,0,1,0
1,1,1,2,2,1,1,1,0,1,0
1,1,1,2,2,1,2,1,0,1,0
1,1,1,2,2,1,3,1,0,1,9.1069e-05
1,1,1,2,2,1,4,1,0,1,0.00044786
1,1,1,2,2,1,5,1,0,1,0
1,1,1,2,2,1,6,1,0,1,0
1,1,1,2,2,1,7,1,0,1,0
1,1,1,2,2,1,8,1,0,1,0
1,1,1,2,2,1,9,1,0,1,0
1,1,1,2,2,1,10,1,0,1,0
1,1,1,2,2,1,11,1,0,1,0
1,1,1,2,2,1,12,1,0,1,0
1,1,1,2,2,1,13,1,0,1,0
1,1,1,2,2,1,14,1,0,1,0
1,1,1,2,2,1,15,1,0,1,0
1,1,1,2,2,1,16,1,0,1,0
1,1,1,2,2,1,17,1,0,1,0
1,1,1,2,2,1,18,1,0,1,0
1,1,1,2,2,1,19,1,0,1,0
1,1,1,2,2,1,0,2,0,0,0
1,1,1,2,2,1,1,2,0,0,0
1,1,1,2,2,1,2,2,0,0,0
1,1,1,2,2,1,3,2,0,0,0.131031
1,1,1,2,2,1,4,2,0,0,0.501914
1,1,1,2,2,1,5,2,0,0,0
1,1,1,2,2,1,6,2,0,0,0
1,1,1,2,2,1,7,2,0,0,0
1,1,1,2,2,1,8,2,0,0,0
1,1,1,2,2,1,9,2,0,0,0
1,1,1,2,2,1,10,2,0,0,0
1,1,1,2,2,1,11,2,0,0,0
1,1,1,2,2,1,12,2,0,0,0
1,1,1,2,2,1,13,2,0,0,0
1,1,1,2,2,1,14,2,0,0,0
1,1,1,2,2,1,15,2,0,0,0
1,1,1,2,2,1,16,2,0,0,0
1,1,1,2,2,1,17,2,0,0,0
1,1,1,2,2,1,18,2,0,0,0
1,1,1,2,2,1,19,2,0,0,0
1,1,1,2,2,1,0,2,0,1,0
1,1,1,2,2,1,1,2,0,1,0
1,1,1,2,2,1,2,2,0,1,0
1,1,1,2,2,1,3,2,0,1,0.0266331
1,1,1,2,2,1,4,2,0,1,0.131224
1,1,1,2,2,1,5,2,0,1,0
1,1,1,2,2,1,6,2,0,1,0
1,1,1,2,2,1,7,2,0,1,0
1,1,1,2,2,1,8,2,0,1,0
1,1,1,2,2,1,9,2,0,1,0
1,1,1,2,2,1,10,2,0,1,0
1,1,1,2,2,1,11,2,0,1,0
1,1,1,2,2,1,12,2,0,1,0
1,1,1,2,2,1,13,2,0,1,0
1,1,1,2,2,1,14,2,0,1,0
1,1,1,2,2,1,15,2,0,1,0
1,1,1,2,2,1,16,2,0,1,0
1,1,1,2,2,1,17,2,0,1,0
1,1,1,2,2,1,18,2,0,1,0
1,1,1,2,2,1,19,2,0,1,0
1,1,1,2,2,1,0,1,1,0,0
1,1,1,2,2,1,1,1,1,0,0
1,1,1,2,2,1,2,1,1,0,0
1,1,1,2,2,1,3,1,1,0,0.0160382
1,1,1,2,2,1,4,1,1,0,0.0671256
1,1,1,2,2,1,5,1,1,0,0
1,1,1,2,2,1,6,1,1,0,0
1,1,1,2,2,1,7,1,1,0,0
1,1,1,2,2,1,8,1,1,0,0
1,1,1,2,2,1,9,1,1,0,0
1,1,1,2,2,1,10,1,1,0,0
1,1,1,2,2,1,11,1,1,0,0
1,1,1,2,2,1,12,1,1,0,0
1,1,1,2,2,1,13,1,1,0,0
1,1,1,2,2,1,14,1,1,0,0
1,1,1,2,2,1,15,1,1,0,0
1,1,1,2,2,1,16,1,1,0,0
1,1,1,2,2,1,17,1,1,0,0
1,1,1,2,2,1,18,1,1,0,0
1,1,1,2,2,1,19,1,1,0,0
1,1,1,2,2,1,0,1,1,1,0
1,1,1,2,2,1,1,1,1,1,0
1,1,1,2,2,1,2,1,1,1,0
1,1,1,2,2,1,3,1,1,1,0.00149491
1,1,1,2,2,1,4,1,1,1,0.00755424
1,1,1,2,2,1,5,1,1,1,0
1,1,1,2,2,1,6,1,1,1,0
1,1,1,2,2,1,7,1,1,1,0
1,1,1,2,2,1,8,1,1,1,0
1,1,1,2,2,1,9,1,1,1,0
1,1,1,2,2,1,10,1,1,1,0
1,1,1,2,2,1,11,1,1,1,0
1,1,1,2,2,1,12,1,1,1,0
1,1,1,2,2,1,13,1,1,1,0
1,1,1,2,2,1,14,1,1,1,0
1,1,1,2,2,1,15,1,1,1,0
1,1,1,2,2,1,16,1,1,1,0
1,1,1,2,2,1,17,1,1,1,0
1,1,1,2,2,1,18,1,1,1,0
1,1,1,2,2,1,19,1,1,1,0
1,1,1,2,2,1,0,2,1,0,0
1,1,1,2,2,1,1,2,1,0,0
1,1,1,2,2,1,2,2,1,0,0
1,1,1,2,2,1,3,2,1,0,0.00668356
1,1,1,2,2,1,4,2,1,0,0.0279009
1,1,1,2,2,1,5,2,1,0,0
1,1,1,2,2,1,6,2,1,0,0
1,1,1,2,2,1,7,2,1,0,0
1,1,1,2,2,1,8,2,1,0,0
1,1,1,2,2,1,9,2,1,0,0
1,1,1,2,2,1,10,2,1,0,0
1,1,1,2,2,1,11,2,1,0,0
1,1,1,2,2,1,12,2,1,0,0
1,1,1,2,2,1,13,2,1,0,0
1,1,1,2,2,1,14,2,1,0,0
1,1,1,2,2,1,15,2,1,0,0
1,1,1,2,2,1,16,2,1,0,0
1,1,1,2,2,1,17,2,1,0,0
1,1,1,2,2,1,18,2,1,0,0
1,1,1,2,2,1,19,2,1,0,0
1,1,1,2,2,1,0,2,1,1,0
1,1,1,2,2,1,1,2,1,1,0
1,1,1,2,2,1,2,2,1,1,0
1,1,1,2,2,1,3,2,1,1,0.00323189
1,1,1,2,2,1,4,2,1,1,0.0162733
1,1,1,2,2,1,5,2,1,1,0
1,1,1,2,2,1,6,2,1,1,0
1,1,1,2,2,1,7,2,1,1,0
1,1,1,2,2,1,8,2,1,1,0
1,1,1,2,2,1,9,2,1,1,0
1,1,1,2,2,1,10,2,1,1,0
1,1,1,2,2,1,11,2,1,1,0
1,1,1,2,2,1,12,2,1,1,0
1,1,1,2,2,1,13,2,1,1,0
1,1,1,2,2,1,14,2,1,1,0
1,1,1,2,2,1,15,2,1,1,0
1,1,1,2,2,1,16,2,1,1,0
1,1,1,2,2,1,17,2,1,1,0
1,1,1,2,2,1,18,2,1,1,0
1,1,1,2,2,1,19,2,1,1,0
