NAICS, region, gravity, DAVgrid, DAV, orderedvio, laginv, lag2inv, value
21, 1, 1, 0, 0, 0, 0, 0, -0.155168
21, 1, 1, 0, 0, 1, 0, 0, 0.753414
21, 1, 1, 1, 0.5, 1, 0, 0, 0.654188
21, 1, 1, 2, 1, 1, 0, 0, 0.518153
21, 1, 1, 3, 1.5, 1, 0, 0, 0.314883
21, 1, 1, 4, 2, 1, 0, 0, -0.00862621
21, 1, 1, 5, 2.5, 1, 0, 0, -0.522966
21, 1, 1, 6, 3, 1, 0, 0, -1.34064
21, 1, 1, 7, 3.5, 1, 0, 0, -2.60996
21, 1, 1, 8, 4, 1, 0, 0, -4.50218
21, 1, 1, 9, 4.5, 1, 0, 0, -7.18774
21, 1, 1, 10, 5, 1, 0, 0, -10.8065
21, 1, 1, 11, 5.5, 1, 0, 0, -15.4416
21, 1, 1, 12, 6, 1, 0, 0, -20.8888
21, 1, 1, 13, 6.5, 1, 0, 0, -26.8858
21, 1, 1, 14, 7, 1, 0, 0, -33.1612
21, 1, 1, 15, 7.5, 1, 0, 0, -39.4471
21, 1, 1, 16, 8, 1, 0, 0, -45.5138
21, 1, 1, 17, 8.5, 1, 0, 0, -51.1625
21, 1, 1, 18, 9, 1, 0, 0, -56.1314
21, 1, 1, 19, 9.5, 1, 0, 0, -59.8251
21, 1, 1, 0, 0, 2, 0, 0, -1.00376
21, 1, 1, 1, 0.5, 2, 0, 0, -1.19737
21, 1, 1, 2, 1, 2, 0, 0, -1.45893
21, 1, 1, 3, 1.5, 2, 0, 0, -1.81167
21, 1, 1, 4, 2, 2, 0, 0, -2.30919
21, 1, 1, 5, 2.5, 2, 0, 0, -3.01133
21, 1, 1, 6, 3, 2, 0, 0, -4.00569
21, 1, 1, 7, 3.5, 2, 0, 0, -5.39642
21, 1, 1, 8, 4, 2, 0, 0, -7.30678
21, 1, 1, 9, 4.5, 2, 0, 0, -9.8659
21, 1, 1, 10, 5, 2, 0, 0, -13.1969
21, 1, 1, 11, 5.5, 2, 0, 0, -17.4077
21, 1, 1, 12, 6, 2, 0, 0, -22.3702
21, 1, 1, 13, 6.5, 2, 0, 0, -27.9039
21, 1, 1, 14, 7, 2, 0, 0, -33.7984
21, 1, 1, 15, 7.5, 2, 0, 0, -39.8374
21, 1, 1, 16, 8, 2, 0, 0, -45.8126
21, 1, 1, 17, 8.5, 2, 0, 0, -51.5125
21, 1, 1, 18, 9, 2, 0, 0, -56.6676
21, 1, 1, 19, 9.5, 2, 0, 0, -60.6846
21, 1, 1, 0, 0, 1, 0, 1, 0.70263
21, 1, 1, 1, 0.5, 1, 0, 1, 0.597094
21, 1, 1, 2, 1, 1, 0, 1, 0.45368
21, 1, 1, 3, 1.5, 1, 0, 1, 0.241376
21, 1, 1, 4, 2, 1, 0, 1, -0.091463
21, 1, 1, 5, 2.5, 1, 0, 1, -0.616253
21, 1, 1, 6, 3, 1, 0, 1, -1.44218
21, 1, 1, 7, 3.5, 1, 0, 1, -2.71026
21, 1, 1, 8, 4, 1, 0, 1, -4.5824
21, 1, 1, 9, 4.5, 1, 0, 1, -7.21897
21, 1, 1, 10, 5, 1, 0, 1, -10.7558
21, 1, 1, 11, 5.5, 1, 0, 1, -15.2758
21, 1, 1, 12, 6, 1, 0, 1, -20.5998
21, 1, 1, 13, 6.5, 1, 0, 1, -26.4924
21, 1, 1, 14, 7, 1, 0, 1, -32.7162
21, 1, 1, 15, 7.5, 1, 0, 1, -39.0012
21, 1, 1, 16, 8, 1, 0, 1, -45.1231
21, 1, 1, 17, 8.5, 1, 0, 1, -50.8584
21, 1, 1, 18, 9, 1, 0, 1, -55.9271
21, 1, 1, 19, 9.5, 1, 0, 1, -59.7174
21, 1, 1, 0, 0, 2, 0, 1, -0.982994
21, 1, 1, 1, 0.5, 2, 0, 1, -1.19136
21, 1, 1, 2, 1, 2, 0, 1, -1.46774
21, 1, 1, 3, 1.5, 2, 0, 1, -1.84674
21, 1, 1, 4, 2, 2, 0, 1, -2.37708
21, 1, 1, 5, 2.5, 2, 0, 1, -3.12767
21, 1, 1, 6, 3, 2, 0, 1, -4.18662
21, 1, 1, 7, 3.5, 2, 0, 1, -5.66338
21, 1, 1, 8, 4, 2, 0, 1, -7.67971
21, 1, 1, 9, 4.5, 2, 0, 1, -10.3612
21, 1, 1, 10, 5, 2, 0, 1, -13.8265
21, 1, 1, 11, 5.5, 2, 0, 1, -18.1609
21, 1, 1, 12, 6, 2, 0, 1, -23.2128
21, 1, 1, 13, 6.5, 2, 0, 1, -28.7943
21, 1, 1, 14, 7, 2, 0, 1, -34.6962
21, 1, 1, 15, 7.5, 2, 0, 1, -40.7059
21, 1, 1, 16, 8, 2, 0, 1, -46.621
21, 1, 1, 17, 8.5, 2, 0, 1, -52.2382
21, 1, 1, 18, 9, 2, 0, 1, -57.2965
21, 1, 1, 19, 9.5, 2, 0, 1, -61.189
21, 1, 1, 0, 0, 1, 1, 0, 0.581204
21, 1, 1, 1, 0.5, 1, 1, 0, 0.476832
21, 1, 1, 2, 1, 1, 1, 0, 0.343629
21, 1, 1, 3, 1.5, 1, 1, 0, 0.157871
21, 1, 1, 4, 2, 1, 1, 0, -0.121937
21, 1, 1, 5, 2.5, 1, 1, 0, -0.554951
21, 1, 1, 6, 3, 1, 1, 0, -1.23544
21, 1, 1, 7, 3.5, 1, 1, 0, -2.2932
21, 1, 1, 8, 4, 1, 1, 0, -3.88966
21, 1, 1, 9, 4.5, 1, 1, 0, -6.20294
21, 1, 1, 10, 5, 1, 1, 0, -9.40485
21, 1, 1, 11, 5.5, 1, 1, 0, -13.6308
21, 1, 1, 12, 6, 1, 1, 0, -18.7791
21, 1, 1, 13, 6.5, 1, 1, 0, -24.6541
21, 1, 1, 14, 7, 1, 1, 0, -31.0176
21, 1, 1, 15, 7.5, 1, 1, 0, -37.5569
21, 1, 1, 16, 8, 1, 1, 0, -43.9922
21, 1, 1, 17, 8.5, 1, 1, 0, -50.0421
21, 1, 1, 18, 9, 1, 1, 0, -55.3835
21, 1, 1, 19, 9.5, 1, 1, 0, -59.3988
21, 1, 1, 0, 0, 2, 1, 0, 0.0173946
21, 1, 1, 1, 0.5, 2, 1, 0, -0.0208014
21, 1, 1, 2, 1, 2, 1, 0, -0.104053
21, 1, 1, 3, 1.5, 2, 1, 0, -0.264747
21, 1, 1, 4, 2, 2, 1, 0, -0.554471
21, 1, 1, 5, 2.5, 2, 1, 0, -1.0492
21, 1, 1, 6, 3, 2, 1, 0, -1.83955
21, 1, 1, 7, 3.5, 2, 1, 0, -3.05236
21, 1, 1, 8, 4, 2, 1, 0, -4.82398
21, 1, 1, 9, 4.5, 2, 1, 0, -7.29894
21, 1, 1, 10, 5, 2, 1, 0, -10.6008
21, 1, 1, 11, 5.5, 2, 1, 0, -14.845
21, 1, 1, 12, 6, 2, 1, 0, -19.9059
21, 1, 1, 13, 6.5, 2, 1, 0, -25.5967
21, 1, 1, 14, 7, 2, 1, 0, -31.692
21, 1, 1, 15, 7.5, 2, 1, 0, -37.9514
21, 1, 1, 16, 8, 2, 1, 0, -44.1308
21, 1, 1, 17, 8.5, 2, 1, 0, -49.9912
21, 1, 1, 18, 9, 2, 1, 0, -55.2504
21, 1, 1, 19, 9.5, 2, 1, 0, -59.3392
21, 1, 1, 0, 0, 1, 1, 1, 0.397802
21, 1, 1, 1, 0.5, 1, 1, 1, 0.298376
21, 1, 1, 2, 1, 1, 1, 1, 0.177813
21, 1, 1, 3, 1.5, 1, 1, 1, 0.0157891
21, 1, 1, 4, 2, 1, 1, 1, -0.226307
21, 1, 1, 5, 2.5, 1, 1, 1, -0.60681
21, 1, 1, 6, 3, 1, 1, 1, -1.2181
21, 1, 1, 7, 3.5, 1, 1, 1, -2.1891
21, 1, 1, 8, 4, 1, 1, 1, -3.68331
21, 1, 1, 9, 4.5, 1, 1, 1, -5.88359
21, 1, 1, 10, 5, 1, 1, 1, -8.96899
21, 1, 1, 11, 5.5, 1, 1, 1, -13.0768
21, 1, 1, 12, 6, 1, 1, 1, -18.1174
21, 1, 1, 13, 6.5, 1, 1, 1, -23.9287
21, 1, 1, 14, 7, 1, 1, 1, -30.2697
21, 1, 1, 15, 7.5, 1, 1, 1, -36.8401
21, 1, 1, 16, 8, 1, 1, 1, -43.3593
21, 1, 1, 17, 8.5, 1, 1, 1, -49.5209
21, 1, 1, 18, 9, 1, 1, 1, -54.9871
21, 1, 1, 19, 9.5, 1, 1, 1, -59.1359
21, 1, 1, 0, 0, 2, 1, 1, -0.041447
21, 1, 1, 1, 0.5, 2, 1, 1, -0.125542
21, 1, 1, 2, 1, 2, 1, 1, -0.271242
21, 1, 1, 3, 1.5, 2, 1, 1, -0.514311
21, 1, 1, 4, 2, 2, 1, 1, -0.912208
21, 1, 1, 5, 2.5, 2, 1, 1, -1.53392
21, 1, 1, 6, 3, 2, 1, 1, -2.47609
21, 1, 1, 7, 3.5, 2, 1, 1, -3.85935
21, 1, 1, 8, 4, 2, 1, 1, -5.8151
21, 1, 1, 9, 4.5, 2, 1, 1, -8.47453
21, 1, 1, 10, 5, 2, 1, 1, -11.9508
21, 1, 1, 11, 5.5, 2, 1, 1, -16.3345
21, 1, 1, 12, 6, 2, 1, 1, -21.4743
21, 1, 1, 13, 6.5, 2, 1, 1, -27.1761
21, 1, 1, 14, 7, 2, 1, 1, -33.2188
21, 1, 1, 15, 7.5, 2, 1, 1, -39.375
21, 1, 1, 16, 8, 2, 1, 1, -45.4211
21, 1, 1, 17, 8.5, 2, 1, 1, -51.1366
21, 1, 1, 18, 9, 2, 1, 1, -56.2491
21, 1, 1, 19, 9.5, 2, 1, 1, -60.1787
21, 1, 4, 0, 0, 0, 0, 0, -0.153355
21, 1, 4, 0, 0, 1, 0, 0, 0.82895
21, 1, 4, 1, 0.5, 1, 0, 0, 0.722697
21, 1, 4, 2, 1, 1, 0, 0, 0.574927
21, 1, 4, 3, 1.5, 1, 0, 0, 0.35413
21, 1, 4, 4, 2, 1, 0, 0, 0.00650362
21, 1, 4, 5, 2.5, 1, 0, 0, -0.537824
21, 1, 4, 6, 3, 1, 0, 0, -1.37887
21, 1, 4, 7, 3.5, 1, 0, 0, -2.64269
21, 1, 4, 8, 4, 1, 0, 0, -4.45794
21, 1, 4, 9, 4.5, 1, 0, 0, -6.93873
21, 1, 4, 10, 5, 1, 0, 0, -10.1609
21, 1, 4, 11, 5.5, 1, 0, 0, -14.1452
21, 1, 4, 12, 6, 1, 0, 0, -18.7021
21, 1, 4, 13, 6.5, 1, 0, 0, -23.6308
21, 1, 4, 14, 7, 1, 0, 0, -28.7456
21, 1, 4, 15, 7.5, 1, 0, 0, -33.8777
21, 1, 4, 16, 8, 1, 0, 0, -38.8859
21, 1, 4, 17, 8.5, 1, 0, 0, -43.6315
21, 1, 4, 18, 9, 1, 0, 0, -47.8969
21, 1, 4, 19, 9.5, 1, 0, 0, -51.1235
21, 1, 4, 0, 0, 2, 0, 0, -0.862628
21, 1, 4, 1, 0.5, 2, 0, 0, -1.01826
21, 1, 4, 2, 1, 2, 0, 0, -1.24897
21, 1, 4, 3, 1.5, 2, 0, 0, -1.55708
21, 1, 4, 4, 2, 2, 0, 0, -1.98972
21, 1, 4, 5, 2.5, 2, 0, 0, -2.59876
21, 1, 4, 6, 3, 2, 0, 0, -3.45813
21, 1, 4, 7, 3.5, 2, 0, 0, -4.6486
