NAICS, region, gravity, DAVgrid, DAV, orderedvio, laginv, violation, value
21, 1, 1, 0, 0, 0, 0, 0, -0.153191
21, 1, 1, 0, 0, 1, 0, 0, 0.790449
21, 1, 1, 1, 0.5, 1, 0, 0, 0.702075
21, 1, 1, 2, 1, 1, 0, 0, 0.584916
21, 1, 1, 3, 1.5, 1, 0, 0, 0.418158
21, 1, 1, 4, 2, 1, 0, 0, 0.167772
21, 1, 1, 5, 2.5, 1, 0, 0, -0.211081
21, 1, 1, 6, 3, 1, 0, 0, -0.78294
21, 1, 1, 7, 3.5, 1, 0, 0, -1.6348
21, 1, 1, 8, 4, 1, 0, 0, -2.8715
21, 1, 1, 9, 4.5, 1, 0, 0, -4.60787
21, 1, 1, 10, 5, 1, 0, 0, -6.95674
21, 1, 1, 11, 5.5, 1, 0, 0, -10.1154
21, 1, 1, 12, 6, 1, 0, 0, -14.0582
21, 1, 1, 13, 6.5, 1, 0, 0, -18.6617
21, 1, 1, 14, 7, 1, 0, 0, -23.7774
21, 1, 1, 15, 7.5, 1, 0, 0, -29.2418
21, 1, 1, 16, 8, 1, 0, 0, -34.8669
21, 1, 1, 17, 8.5, 1, 0, 0, -40.4577
21, 1, 1, 18, 9, 1, 0, 0, -45.8383
21, 1, 1, 19, 9.5, 1, 0, 0, -50.8486
21, 1, 1, 0, 0, 1, 0, 1, 0.558081
21, 1, 1, 1, 0.5, 1, 0, 1, 0.378181
21, 1, 1, 2, 1, 1, 0, 1, 0.104306
21, 1, 1, 3, 1.5, 1, 0, 1, -0.311828
21, 1, 1, 4, 2, 1, 0, 1, -0.942891
21, 1, 1, 5, 2.5, 1, 0, 1, -1.88276
21, 1, 1, 6, 3, 1, 0, 1, -3.24058
21, 1, 1, 7, 3.5, 1, 0, 1, -5.13077
21, 1, 1, 8, 4, 1, 0, 1, -7.66017
21, 1, 1, 9, 4.5, 1, 0, 1, -10.9153
21, 1, 1, 10, 5, 1, 0, 1, -14.9536
21, 1, 1, 11, 5.5, 1, 0, 1, -19.7196
21, 1, 1, 12, 6, 1, 0, 1, -24.9535
21, 1, 1, 13, 6.5, 1, 0, 1, -30.4866
21, 1, 1, 14, 7, 1, 0, 1, -36.1227
21, 1, 1, 15, 7.5, 1, 0, 1, -41.6731
21, 1, 1, 16, 8, 1, 0, 1, -46.9683
21, 1, 1, 17, 8.5, 1, 0, 1, -51.8398
21, 1, 1, 18, 9, 1, 0, 1, -56.0401
21, 1, 1, 19, 9.5, 1, 0, 1, -58.9802
21, 1, 1, 0, 0, 2, 0, 0, -0.846804
21, 1, 1, 1, 0.5, 2, 0, 0, -0.99915
21, 1, 1, 2, 1, 2, 0, 0, -1.19962
21, 1, 1, 3, 1.5, 2, 0, 0, -1.46402
21, 1, 1, 4, 2, 2, 0, 0, -1.82499
21, 1, 1, 5, 2.5, 2, 0, 0, -2.32299
21, 1, 1, 6, 3, 2, 0, 0, -3.01106
21, 1, 1, 7, 3.5, 2, 0, 0, -3.95694
21, 1, 1, 8, 4, 2, 0, 0, -5.24216
21, 1, 1, 9, 4.5, 2, 0, 0, -6.95832
21, 1, 1, 10, 5, 2, 0, 0, -9.20173
21, 1, 1, 11, 5.5, 2, 0, 0, -12.1506
21, 1, 1, 12, 6, 2, 0, 0, -15.815
21, 1, 1, 13, 6.5, 2, 0, 0, -20.1064
21, 1, 1, 14, 7, 2, 0, 0, -24.901
21, 1, 1, 15, 7.5, 2, 0, 0, -30.0526
21, 1, 1, 16, 8, 2, 0, 0, -35.4054
21, 1, 1, 17, 8.5, 2, 0, 0, -40.8047
21, 1, 1, 18, 9, 2, 0, 0, -46.1009
21, 1, 1, 19, 9.5, 2, 0, 0, -51.1408
21, 1, 1, 0, 0, 2, 0, 1, -1.24511
21, 1, 1, 1, 0.5, 2, 0, 1, -1.52606
21, 1, 1, 2, 1, 2, 0, 1, -1.91374
21, 1, 1, 3, 1.5, 2, 0, 1, -2.45075
21, 1, 1, 4, 2, 2, 0, 1, -3.1952
21, 1, 1, 5, 2.5, 2, 0, 1, -4.2196
21, 1, 1, 6, 3, 2, 0, 1, -5.60913
21, 1, 1, 7, 3.5, 2, 0, 1, -7.45697
21, 1, 1, 8, 4, 2, 0, 1, -9.85704
21, 1, 1, 9, 4.5, 2, 0, 1, -12.8953
21, 1, 1, 10, 5, 2, 0, 1, -16.6492
21, 1, 1, 11, 5.5, 2, 0, 1, -21.0939
21, 1, 1, 12, 6, 2, 0, 1, -26.005
21, 1, 1, 13, 6.5, 2, 0, 1, -31.2296
21, 1, 1, 14, 7, 2, 0, 1, -36.6104
21, 1, 1, 15, 7.5, 2, 0, 1, -41.9947
21, 1, 1, 16, 8, 2, 0, 1, -47.2334
21, 1, 1, 17, 8.5, 2, 0, 1, -52.1628
21, 1, 1, 18, 9, 2, 0, 1, -56.535
21, 1, 1, 19, 9.5, 2, 0, 1, -59.7178
21, 1, 1, 0, 0, 1, 1, 0, 0.734705
21, 1, 1, 1, 0.5, 1, 1, 0, 0.641151
21, 1, 1, 2, 1, 1, 1, 0, 0.518223
21, 1, 1, 3, 1.5, 1, 1, 0, 0.344832
21, 1, 1, 4, 2, 1, 1, 0, 0.0878238
21, 1, 1, 5, 2.5, 1, 1, 0, -0.297526
21, 1, 1, 6, 3, 1, 1, 0, -0.874249
21, 1, 1, 7, 3.5, 1, 1, 0, -1.72512
21, 1, 1, 8, 4, 1, 1, 0, -2.94826
21, 1, 1, 9, 4.5, 1, 1, 0, -4.65021
21, 1, 1, 10, 5, 1, 1, 0, -6.93515
21, 1, 1, 11, 5.5, 1, 1, 0, -9.9951
21, 1, 1, 12, 6, 1, 1, 0, -13.8121
21, 1, 1, 13, 6.5, 1, 1, 0, -18.2883
21, 1, 1, 14, 7, 1, 1, 0, -23.3039
21, 1, 1, 15, 7.5, 1, 1, 0, -28.7136
21, 1, 1, 16, 8, 1, 1, 0, -34.3329
21, 1, 1, 17, 8.5, 1, 1, 0, -39.9634
21, 1, 1, 18, 9, 1, 1, 0, -45.4208
21, 1, 1, 19, 9.5, 1, 1, 0, -50.5253
21, 1, 1, 0, 0, 1, 1, 1, 0.490091
21, 1, 1, 1, 0.5, 1, 1, 1, 0.303338
21, 1, 1, 2, 1, 1, 1, 1, 0.0229284
21, 1, 1, 3, 1.5, 1, 1, 1, -0.399689
21, 1, 1, 4, 2, 1, 1, 1, -1.0348
21, 1, 1, 5, 2.5, 1, 1, 1, -1.97119
21, 1, 1, 6, 3, 1, 1, 1, -3.31078
21, 1, 1, 7, 3.5, 1, 1, 1, -5.15957
21, 1, 1, 8, 4, 1, 1, 1, -7.61736
21, 1, 1, 9, 4.5, 1, 1, 1, -10.7694
21, 1, 1, 10, 5, 1, 1, 1, -14.6783
21, 1, 1, 11, 5.5, 1, 1, 1, -19.3181
21, 1, 1, 12, 6, 1, 1, 1, -24.4609
21, 1, 1, 13, 6.5, 1, 1, 1, -29.9518
21, 1, 1, 14, 7, 1, 1, 1, -35.5939
21, 1, 1, 15, 7.5, 1, 1, 1, -41.195
21, 1, 1, 16, 8, 1, 1, 1, -46.5718
21, 1, 1, 17, 8.5, 1, 1, 1, -51.539
21, 1, 1, 18, 9, 1, 1, 1, -55.8377
21, 1, 1, 19, 9.5, 1, 1, 1, -58.8608
21, 1, 1, 0, 0, 2, 1, 0, -0.836505
21, 1, 1, 1, 0.5, 2, 1, 0, -1.00711
21, 1, 1, 2, 1, 2, 1, 0, -1.22922
21, 1, 1, 3, 1.5, 2, 1, 0, -1.52652
21, 1, 1, 4, 2, 2, 1, 0, -1.93191
21, 1, 1, 5, 2.5, 2, 1, 0, -2.48929
21, 1, 1, 6, 3, 2, 1, 0, -3.25461
21, 1, 1, 7, 3.5, 2, 1, 0, -4.29691
21, 1, 1, 8, 4, 2, 1, 0, -5.69672
21, 1, 1, 9, 4.5, 2, 1, 0, -7.54104
21, 1, 1, 10, 5, 2, 1, 0, -9.91846
21, 1, 1, 11, 5.5, 2, 1, 0, -13.0001
21, 1, 1, 12, 6, 2, 1, 0, -16.776
21, 1, 1, 13, 6.5, 2, 1, 0, -21.1407
21, 1, 1, 14, 7, 2, 1, 0, -25.9661
